"Generation","Fitness","Vision","Collision Distance","Min Separation","Max Align Turn","Max Cohere Turn","Max Separate Turn","Move Distance","Tracking Range","Default Turn"
"Generation","Fitness","Vision","Collision Distance","Min Separation","Max Align Turn","Max Cohere Turn","Max Separate Turn","Move Distance","Tracking Range","Default Turn"
9,0,4,7,5,14,1,12,7,8,1
9,2.7792222222222223,13,3,6,14,5,20,3,15,1
9,0.9249999999999999,2,0,2,10,13,16,4,15,1
10,3.2604444444444445,15,4,7,14,2,27,7,15,1
10,2.6521111111111115,4,3,3,14,5,11,4,12,1
10,2.7763333333333335,5,4,2,14,13,8,7,15,1
10,0,1,4,5,14,10,16,7,0,1
10,0.1,8,4,4,14,6,19,4,8,1
10,2.872777777777778,15,4,2,13,14,19,4,15,1
10,0.025,5,3,1,14,2,20,7,8,1
10,2.675666666666667,4,3,0,14,6,11,4,15,1
10,3.066777777777778,5,3,7,14,2,20,4,15,1
10,3.019111111111111,4,3,3,14,2,11,7,15,1
10,0.625,8,4,7,9,14,16,4,15,1
10,2.8743333333333334,2,0,5,13,6,19,4,15,1
10,3.023222222222222,10,0,3,13,2,19,0,11,1
10,0,4,0,2,1,13,23,7,15,1
10,0.375,5,4,6,9,5,31,7,15,1
10,0,2,0,2,2,14,23,4,15,1
10,0.25000000000000006,15,4,7,10,5,19,4,12,1
10,1.625,2,3,2,13,14,16,4,12,1
10,0,1,3,5,1,2,16,7,8,1
10,0.225,2,3,6,10,9,16,4,12,1
10,2.980666666666667,5,4,5,14,6,20,3,12,1
10,2.7153333333333327,5,4,6,14,5,23,0,15,1
10,0.05,2,0,4,13,6,28,3,8,1
10,0.6,12,4,7,9,1,19,4,15,1
